"x","y"
372429.3386251,6889692.47968026
374231.481684005,6895973.85084022
374200.719451801,6896473.66277799
373510.600834561,6897411.6660398
375288.234111311,6892853.23943746
371661.634430226,6902077.37937233
372339.470567082,6906145.22865837
381473.798532844,6909352.06214294
381080.410968394,6909402.01278684
401576.574060913,6908601.99021567
395342.982184243,6908458.76218683
397949.081484448,6907578.7195034
395556.352199148,6907908.14255535
391957.5,6908196.6
388423.450869267,6907821.22137945
397706.835798611,6906951.69138889
394669.80483642,6907117.11974645
379054.361366733,6907045.75849044
379085.345301623,6907611.91117772
378850.075277643,6907198.77045377
378864.865380681,6907211.42767792
378949.117710865,6907599.24209194
402085.158267389,6906220.58631126
389756.064080367,6906530.05234118
389571.492520107,6906330.49941237
382793.093018652,6906487.40950668
400365.317983863,6905124.08426169
399214.73935549,6904286.17784301
399281.449226541,6904310.14977627
398720.601810084,6904287.23912067
398315.873581011,6904470.71836945
395959.90671347,6904834.80598995
383596.17907071,6905006.45125954
401415.816479887,6903396.7496508
399472.448969467,6903682.27045957
398859.296357143,6904130.6032619
389595.401585877,6904264.14012567
388236.163362689,6904048.21232948
384061.795372501,6903561.08327344
396441.494790655,6902980.02353762
390930.337975977,6902715.71052901
386559.601868636,6902966.87262921
381225.582729458,6902834.70221657
396434.436699821,6902412.15151747
387162.539952495,6902402.20253549
383986.582729383,6902448.30162175
401155.329374518,6901116.03833053
392308.483847714,6901758.08389158
388414.964301075,6901121.09849462
378010.70806388,6901317.50964774
377130.065228325,6901402.11732041
379920.652025952,6900670.04828008
378897.73016347,6900892.55107695
376109.321759032,6901053.8467386
401983.964885954,6899875.49085634
401299.579459459,6899488.25459459
400723.83807441,6899875.78047072
396399.660722051,6899534.88587897
396039.366725326,6899738.60043995
385906.709252987,6899534.89191834
401651.426255246,6898818.95573666
401496.490304369,6898803.61006382
401469.066052141,6899264.5423401
401304.952560267,6899094.8706845
400653.025248197,6898684.08739077
400576.006442142,6898524.00314335
400691.052034762,6898656.32158436
400281.969636964,6898900.59092409
399622.812918796,6898779.82065588
393279.400628931,6899212.53584906
402755.880577428,6898387.96463933
402520.148333333,6897711.17
402449.320549261,6898279.05012483
401994.259961927,6897662.59497306
401558.888198261,6897727.98046034
401343.494658824,6898127.93204078
401246.171246832,6897829.69859658
401161.855874358,6897962.83821926
400847.520982755,6897970.9931818
400334.210324987,6898316.17533215
400415.331796376,6897834.45191518
399356.362692613,6898110.29486557
398643.855579452,6898065.89048446
393501.72876172,6897809.47584869
393026.872315087,6898382.91726898
392006.663918117,6898303.50953383
384853.915983473,6898485.67435033
402081.917066892,6897199.43293503
401992.604566468,6897597.93866002
400526.888092444,6897472.49908508
400479.904603208,6897331.62439769
399834.673935429,6897218.10106609
