"x","y"
790673.953918699,6895130.12530081
785318.711003755,6894974.07451447
799650.858770474,6893927.66888183
799463.444034724,6894248.1204521
795859.066181755,6893722.21418799
784914.870516681,6894367.42915855
795234.463877579,6893023.20181009
789292.645079815,6888670.4311435
782296.84838256,6884209.49049461
773580.921183069,6884457.81548832
779772.979613467,6883215.64008429
771696.39881196,6883534.13310596
790427.987784234,6881722.00011409
789516.059618958,6881076.06741413
775668.871163736,6877178.16843679
772859.51634613,6877152.72290771
772448.939464078,6876756.98392516
773735.233609334,6875729.34762263
800338.937590113,6874980.68480134
799633.625184456,6875320.59134694
770754.568529435,6875539.56413334
799200.773969321,6874153.15107221
798974.455129141,6874548.8962255
774849.630676651,6873743.68212832
776241.520410596,6872751.56418577
772012.96416598,6864189.46301182
797459.439446926,6874749.40469687
800697.814583231,6874927.89798762
800466.774549202,6874669.83204534
800551.015327091,6874680.92292886
771642.606940953,6883514.1612368
771513.988639201,6883432.73224541
785960.689041096,6888258.01969993
780902.894184721,6895246.66951729
802183.022916666,6880851.17291667
799770.476948083,6874887.04251903
799801.4,6874073.56666667
799949.540347243,6874734.96030384
796777.257619048,6877204.36666667
800963.591236465,6873011.5791167
801558.570293539,6872870.83548107
800632.831716312,6874603.77069504
800941.883559907,6879225.4563582
771250.273707496,6890659.51913159
791740.197299303,6894704.21751496
796225.749776786,6865359.42848639
771610.475231244,6871033.99263446
772590.151331809,6876512.91208283
772742.26025641,6876906.85418146
773417.45973393,6884538.79022007
775701.647432763,6883628.18679707
776944.388567557,6885594.12219136
779760.427293065,6887540.83444102
788650.556717093,6885958.52564374
784920.840869762,6894523.85227054
785335.793752838,6894837.51903205
790233.317798085,6881579.89033943
798792.596292114,6888100.7024065
775733.682572649,6883332.73254156
791475.442339104,6895229.17921022
791479.165200821,6895304.38660217
791398.534688249,6895441.07479078
791407.280195176,6895323.46383367
791384.107684691,6895300.08498085
791541.499984597,6895254.67903095
795423.584271986,6895472.71085026
791371.624309604,6895272.74228052
791362.501257148,6895231.49854814
791479.951032514,6895244.39973298
791399.521052631,6895426.94035088
791437.677171114,6895246.92367158
791556.453098828,6895238.25080487
791487.104359132,6895386.33231477
791426.738680377,6895274.00721508
791511.232058355,6895318.65653794
791535.830922526,6895306.02910334
791513.918299796,6895291.49843978
791188.990947337,6895340.99783197
791313.510463837,6895477.2851813
791306.356436228,6895353.31239388
791315.066332255,6895239.81913984
791301.630034372,6895328.66766485
781136.098515066,6895395.27962922
781299.792267572,6895425.7488313
781024.923206651,6895280.57823382
781287.614133263,6895495.64224467
778805.520605518,6895460.73646386
778833.726044993,6895458.40062057
778821.575988894,6895396.84463145
777608.193897473,6895377.79292131
777633.262763308,6895383.65425083
777633.256667502,6895407.61804177
777953.306541146,6895346.66969107
777669.125891114,6895464.89172149
777168.202019628,6895446.10140957
771806.529674721,6895348.19969377
772050.209983104,6895457.28851074
772069.476204587,6895361.49453693
800400.933535278,6894528.19824922
799625.570195982,6894443.29730884
799969.375140078,6894340.08363397
800021.175207207,6894383.44192432
799966.828226024,6894399.38996429
799915.217560297,6894435.24363961
799904.68919405,6894457.78498088
800039.1754503,6894339.31777852
799882.529550815,6894450.3616375
799903.675201962,6894368.6585501
799702.331422108,6894499.0110344
799436.385921231,6894423.88016196
799495.374575214,6894380.29001962
791458.947699768,6895110.36407742
791533.955175953,6895133.85075025
791640.227981367,6894843.52710159
791625.861484487,6894690.88677002
791714.86789664,6894728.83948748
791645.405905811,6894717.4139448
791522.496198564,6894765.52708523
791778.266918647,6894948.68332842
791741.089934741,6894927.18279901
791445.348635111,6895104.8012021
791503.177279296,6895027.36996264
791453.523232323,6894925.03787879
791475.481973589,6895059.04834855
791418.408951512,6895057.84116898
791361.690085244,6895127.83083395
791443.185386205,6894946.70742389
